query_id,query,primary_category,secondary_category,ttl_policy,domain,cached_answer,is_hallucination,confidence_score,overlap_flag
CACHE_001,What is the speed of light in a vacuum?,Static,,infinity,Science,"The speed of light in a vacuum is approximately 299,792,458 meters per second, often denoted as c. This is a fundamental physical constant and forms the basis of Einstein's special theory of relativity. No object with mass can reach or exceed this speed. It is used as a conversion factor between space and time in relativistic physics.",False,0.97,No
CACHE_002,What is the chemical formula for water?,Static,,infinity,Science,"Water is composed of two hydrogen atoms covalently bonded to one oxygen atom, giving it the chemical formula H₂O. This molecular structure results in a polar molecule with a partial negative charge on the oxygen and partial positive charges on the hydrogens. This polarity is responsible for water's unique solvent properties and high surface tension.",False,0.98,No
CACHE_003,How many bones are in the adult human body?,Static,,infinity,Science,"The adult human body has 206 bones. Infants are born with around 270–300 bones, but many of these fuse during childhood and adolescence. The skeleton is divided into the axial skeleton (skull, spine, ribs) and the appendicular skeleton (limbs, shoulder and pelvic girdles). Bones provide structural support, protect organs, and produce blood cells.",False,0.97,No
CACHE_004,What is Newton's second law of motion?,Static,,infinity,Science,Newton's second law of motion states that the net force acting on an object equals the product of its mass and acceleration (F = ma). This means that a heavier object requires more force to accelerate at the same rate as a lighter one. The law is foundational to classical mechanics and applies to everyday motion as well as engineering design.,False,0.98,No
CACHE_005,What is the Pythagorean theorem?,Static,,infinity,Science,"The Pythagorean theorem states that in a right-angled triangle, the square of the length of the hypotenuse equals the sum of the squares of the other two sides: a² + b² = c². It is one of the oldest and most widely known results in mathematics. The theorem has applications in geometry, physics, navigation, and computer graphics.",False,0.99,No
CACHE_006,What is the atomic number of carbon?,Static,,infinity,Science,"Carbon has an atomic number of 6, meaning it has 6 protons in its nucleus. It is a nonmetallic element in Group 14 of the periodic table and is the basis of all known life on Earth. Carbon can form four covalent bonds, making it uniquely capable of creating the complex organic molecules necessary for biology.",False,0.98,No
CACHE_007,What is photosynthesis?,Static,,infinity,Science,"Photosynthesis is the biological process by which green plants, algae, and some bacteria convert light energy—typically from the sun—into chemical energy stored as glucose. The process occurs primarily in chloroplasts and uses carbon dioxide and water as inputs, releasing oxygen as a byproduct. The overall equation is: 6CO₂ + 6H₂O + light energy → C₆H₁₂O₆ + 6O₂.",False,0.97,No
CACHE_008,What is the theory of general relativity?,Static,,infinity,Science,"General relativity, proposed by Albert Einstein in 1915, describes gravity not as a force but as a curvature of spacetime caused by mass and energy. Massive objects like stars and planets warp the fabric of spacetime, and other objects follow curved paths (geodesics) through this warped space. The theory has been confirmed by observations such as gravitational lensing, the precession of Mercury's orbit, and the detection of gravitational waves.",False,0.96,No
CACHE_009,What is DNA?,Static,,infinity,Science,"DNA, or deoxyribonucleic acid, is the molecule that carries the genetic instructions for the development, functioning, growth, and reproduction of all known organisms. It is structured as a double helix — two strands of nucleotides wound around each other — with base pairs (adenine-thymine and guanine-cytosine) forming the rungs. Segments of DNA that encode proteins are called genes.",False,0.97,No
CACHE_010,What is the second law of thermodynamics?,Static,,infinity,Science,"The second law of thermodynamics states that the total entropy of an isolated system can never decrease over time; it always increases or remains constant. This explains the directionality of natural processes — heat flows from hot to cold, not the reverse. It also implies that no engine can be 100% efficient, and that usable energy tends to degrade into heat.",False,0.96,No
CACHE_011,What is the role of mitochondria in a cell?,Static,Medical,infinity,Science/Medical,"Mitochondria are membrane-bound organelles found in eukaryotic cells and are often called the 'powerhouses of the cell.' Their primary role is to generate adenosine triphosphate (ATP) through a process called oxidative phosphorylation, which relies on the electron transport chain. They also regulate the cell cycle and cell growth, and play a key role in apoptosis (programmed cell death).",False,0.97,Yes
CACHE_012,What is the central dogma of molecular biology?,Static,Medical,infinity,Science/Medical,"The central dogma of molecular biology describes the flow of genetic information within a biological system: DNA is transcribed into RNA, and RNA is translated into protein. This unidirectional flow (with some exceptions like reverse transcription in retroviruses) is fundamental to understanding how genetic information is expressed in living organisms.",False,0.97,Yes
CACHE_013,What is the structure of the periodic table?,Static,,infinity,Science,"The periodic table organizes all known chemical elements by increasing atomic number, arranged in rows called periods and columns called groups. Elements in the same group share similar chemical properties because they have the same number of valence electrons. The table is divided into blocks (s, p, d, f) based on the type of atomic orbital being filled.",False,0.98,No
CACHE_014,What is Ohm's law?,Static,,infinity,Science,"Ohm's law states that the electric current through a conductor between two points is directly proportional to the voltage across the two points, and inversely proportional to the resistance: V = IR. This relationship is fundamental to electrical circuit analysis. Materials that obey Ohm's law are called ohmic conductors.",False,0.97,No
CACHE_015,What is the Big Bang theory?,Static,,infinity,Science,"The Big Bang theory is the prevailing cosmological model explaining the origin of the universe. It proposes that approximately 13.8 billion years ago, the universe began as an extremely hot and dense singularity and has been expanding ever since. Evidence supporting the theory includes cosmic microwave background radiation, the redshift of distant galaxies, and the abundance of light elements.",False,0.96,No
CACHE_016,What does 'habeas corpus' mean?,Static,Legal,infinity,Legal/Science,"Habeas corpus is a fundamental legal principle and writ that requires a person under arrest to be brought before a judge or into court. The term is Latin for 'you shall have the body.' It is designed to prevent unlawful detention and is a cornerstone of civil liberties in common law systems. In the United States, it is enshrined in Article I, Section 9 of the Constitution.",False,0.96,Yes
CACHE_017,What is the presumption of innocence?,Static,Legal,infinity,Legal,"The presumption of innocence is a legal principle that every person accused of a crime is considered innocent until proven guilty in a court of law. The burden of proof lies with the prosecution, not the defendant. This principle is a cornerstone of criminal justice systems in democratic countries and is embedded in international human rights frameworks.",False,0.97,Yes
CACHE_018,What is the difference between civil and criminal law?,Static,Legal,infinity,Legal,"Criminal law involves cases where the government prosecutes an individual for acts considered harmful to society (e.g., theft, assault), and penalties include imprisonment or fines. Civil law, on the other hand, deals with disputes between private parties (e.g., contracts, property, torts), and remedies are typically monetary compensation or injunctions. The standard of proof also differs: 'beyond reasonable doubt' in criminal cases vs. 'preponderance of evidence' in civil cases.",False,0.96,Yes
CACHE_019,What is the principle of stare decisis?,Static,Legal,infinity,Legal,"Stare decisis is the legal doctrine that obliges courts to follow precedents established by earlier decisions when ruling on similar cases. It is derived from the Latin phrase meaning 'to stand by things decided.' This principle promotes consistency and predictability in the law. However, courts can sometimes overturn precedent when it is deemed outdated or incorrect.",False,0.96,Yes
CACHE_020,What is the difference between a tort and a crime?,Static,Legal,infinity,Legal,"A tort is a civil wrong that causes harm to a person or their property, for which the injured party can seek compensation through a civil lawsuit. A crime is an act that violates a public law and is prosecuted by the government on behalf of society. Some acts can be both a tort and a crime simultaneously — for example, assault can result in both criminal charges and a civil lawsuit.",False,0.95,Yes
CACHE_021,What is a black hole?,Static,,infinity,Science,"A black hole is a region of spacetime where gravity is so strong that nothing — not even light or other electromagnetic waves — can escape once it crosses the event horizon. Black holes form when massive stars collapse at the end of their lifecycle in a supernova. They are characterized by their mass, charge, and angular momentum, as described by the no-hair theorem.",False,0.96,No
CACHE_022,What is the speed of sound in air?,Static,,infinity,Science,"The speed of sound in dry air at 20°C (68°F) is approximately 343 meters per second, or about 1,235 km/h. It varies with temperature, pressure, and the medium through which it travels — sound travels faster in denser materials like water or steel. The ratio of an object's speed to the speed of sound is called the Mach number.",False,0.97,No
CACHE_023,What is cellular respiration?,Static,Medical,infinity,Science/Medical,"Cellular respiration is the metabolic process by which cells break down glucose and other organic molecules to produce ATP, the cell's primary energy currency. The process occurs in three main stages: glycolysis (in the cytoplasm), the Krebs cycle (in the mitochondrial matrix), and oxidative phosphorylation (on the inner mitochondrial membrane). Aerobic respiration requires oxygen and produces carbon dioxide and water as byproducts.",False,0.97,Yes
CACHE_024,What is the greenhouse effect?,Static,,infinity,Science,"The greenhouse effect is a natural atmospheric process where certain gases (called greenhouse gases) absorb and re-emit infrared radiation emitted by the Earth's surface, trapping heat in the lower atmosphere. Key greenhouse gases include water vapor, carbon dioxide, methane, and nitrous oxide. Without this effect, Earth's average temperature would be about 33°C colder; however, human activity is intensifying it, driving climate change.",False,0.96,No
