query,true_category,source,latency
What is Meta's current stock price?,Volatile,GEMINI_VOLATILE,3.6627
What is the best practice for database indexing?,Slow-Moving,GEMINI_VOLATILE,11.6904
What is the current best practice for injury prevention?,Slow-Moving,GEMINI_API,11.4595
What happened in the NFL game yesterday?,Volatile,GEMINI_VOLATILE,6.0918
What is the current inflation rate?,Slow-Moving,GEMINI_VOLATILE,6.0087
What is the speed of light in km/s?,Static,GEMINI_API,2.2466
How many teeth do adult humans have?,Static,GEMINI_API,3.3765
What is the current guideline for blood pressure?,Slow-Moving,GEMINI_API,6.2278
What is Twitter's stock price right now?,Volatile,GEMINI_VOLATILE,3.2708
What is the latest update to FERPA?,Slow-Moving,GEMINI_API,9.3126
What are the most popular testing frameworks?,Slow-Moving,GEMINI_API,9.6285
What is the chemical symbol for lead?,Static,GEMINI_API,1.5951
How many protons does oxygen have?,Static,GEMINI_API,1.7537
What is the bestselling book right now?,Volatile,GEMINI_VOLATILE,6.6996
What is the longest river in the world?,Static,GEMINI_API,4.586
What is the latest AI regulation in the EU?,Slow-Moving,GEMINI_API,8.2145
What is the current interest rate in China?,Slow-Moving,GEMINI_API,6.3249
What is the latest IPL score?,Volatile,GEMINI_VOLATILE,4.7532
What is the current gold price per ounce?,Volatile,GEMINI_VOLATILE,4.6366
What is the Doppler effect?,Static,GEMINI_API,6.3197
What is the latest cancer survival rate?,Slow-Moving,GEMINI_VOLATILE,8.3176
What is the weather in Paris today?,Volatile,GEMINI_VOLATILE,3.0805
How many chromosomes do humans have?,Static,GEMINI_API,3.0098
What is the current poverty threshold?,Slow-Moving,GEMINI_API,7.1701
Is it raining in London right now?,Volatile,GEMINI_VOLATILE,3.6735
Who was Albert Camus?,Static,GEMINI_API,9.0203
What is the current price of platinum?,Volatile,GEMINI_VOLATILE,5.6409
What is the current recommendation for XSS prevention?,Slow-Moving,GEMINI_API,9.9636
What is the latest news from India today?,Volatile,GEMINI_VOLATILE,7.5452
What is the current FDA approval process?,Slow-Moving,GEMINI_API,10.7882
What is a control group?,Static,GEMINI_API,13.9317
What is the latest renewable energy adoption rate?,Slow-Moving,GEMINI_API,8.7285
What is happening in Venezuela today?,Volatile,GEMINI_VOLATILE,9.9014
What is the current interest rate in China?,Slow-Moving,REDIS_HIT,0.0493
When did World War II end?,Static,GEMINI_API,3.2375
What is cosmic microwave background radiation?,Static,GEMINI_API,8.9024
What is a supernova?,Static,GEMINI_API,8.179
What is El Nino?,Static,GEMINI_API,14.766
What is the S&P 500 at right now?,Volatile,GEMINI_VOLATILE,3.8595
What are the most popular programming languages right now?,Slow-Moving,GEMINI_API,10.1599
What is the weather in Sydney today?,Volatile,GEMINI_VOLATILE,3.775
What are the latest advances in transfer learning?,Slow-Moving,GEMINI_API,12.2369
What is the live cricket score right now?,Volatile,GEMINI_VOLATILE,4.8965
Are there any protests happening in DC right now?,Volatile,GEMINI_VOLATILE,7.6836
What is the recommended approach for AI evaluation?,Slow-Moving,GEMINI_API,10.9912
What is the current short squeeze happening?,Volatile,GEMINI_VOLATILE,9.5167
