query,true_category,source,similarity_to_gt,is_wrong_hit,ground_truth,cached_response
What is the velocity of light in empty space?,Static,CACHE_HIT_FAST,0.9149,False,"The speed of light in a vacuum is approximately 299,792,458 m/s, denoted as c. It is a universal constant and the cosmic speed limit.","The speed of light in a vacuum is **299,792,458 meters per second (m/s)**. This is typically rounded to **3.00 × 10⁸ m/s** for simplicity in scientific calculations. It is a fundamental constant of na"
What's the molecular formula for H2O?,Static,CACHE_HIT_FAST,0.7783,False,Water is H₂O — two hydrogen atoms bonded to one oxygen atom. This polar structure gives water its unique chemical properties.,The chemical formula for water is **H₂O**. It consists of two hydrogen (H) atoms and one oxygen (O) atom.
How many bones does an adult human have?,Static,CACHE_HIT_FAST,0.7316,False,"Adults have 206 bones. Infants start with more (~270–300), many of which fuse over time during development.","An adult human body typically contains **206 bones**. However, this number can vary slightly from person to person due to variations such as extra small bones called sutural or sesamoid bones."
Explain Newton's second law,Static,CACHE_HIT_FAST,0.5704,True,F = ma: force equals mass times acceleration. A heavier object requires more force to achieve the same acceleration as a lighter one.,Newton's second law of motion states that the **acceleration of an object is directly proportional to the net force acting on it and inversely proportional to its mass**. This law describes how the mo
What molecule carries genetic information?,Static,CACHE_HIT_FAST,0.7297,False,DNA (deoxyribonucleic acid) is the double-helix molecule encoding genetic instructions for all known life.,"DNA, or **deoxyribonucleic acid**, is the molecule that carries the genetic instructions essential for the growth, development, functioning, and reproduction of all known living organisms and many vir"
What does the second law of thermodynamics state?,Static,CACHE_HIT_FAST,0.0196,True,"Entropy in an isolated system always increases or stays constant — disorder tends to grow over time, and no engine is perfectly efficient.",Newton's second law of motion states that the **acceleration of an object is directly proportional to the net force acting on it and inversely proportional to its mass**. This law describes how the mo
What is the role of mitochondria?,Static,CACHE_HIT_FAST,0.7034,False,"Mitochondria generate ATP via oxidative phosphorylation, regulate the cell cycle, and play roles in apoptosis.","Mitochondria are known as the ""powerhouses"" of the cell due to their essential role in energy production. Their primary function is to generate **adenosine triphosphate (ATP)**, the main energy curren"
What is habeas corpus?,Static,CACHE_HIT_FAST,0.654,True,A writ requiring a person under arrest to be brought before a judge. It protects against unlawful detention and is enshrined in the US Constitution.,"The term *habeas corpus* is a Latin phrase that translates to ""you shall have the body."" It refers to a fundamental legal principle that protects individuals from unlawful detention or imprisonment. S"
What is the presumption of innocence in criminal law?,Static,CACHE_HIT_FAST,0.6768,True,Defendants are considered innocent until proven guilty; the prosecution bears the burden of proof. A cornerstone of democratic justice systems.,The **presumption of innocence** is a fundamental legal principle that ensures that anyone accused of a crime is considered innocent until proven guilty. It places the burden of proof on the prosecuti
Describe the difference between civil and criminal cases,Static,CACHE_HIT_FAST,0.7784,False,"Criminal law: government prosecutes harmful acts, prison/fines possible. Civil law: private disputes, typically monetary remedies. Different standards of proof apply.","Civil law and criminal law are two distinct branches of the legal system, each serving different purposes and dealing with different types of disputes. Here are the key differences:

### 1. **Purpose*"
What is stare decisis?,Static,CACHE_HIT_FAST,0.5514,True,"The doctrine requiring courts to follow prior rulings (precedent) for similar cases, promoting legal consistency.","The principle of **stare decisis** is a foundational concept in the legal system, particularly in common law jurisdictions. The term ""stare decisis"" is a Latin phrase meaning ""to stand by things decid"
How fast does sound travel in air?,Static,CACHE_HIT_FAST,0.8457,False,Sound travels at approximately 343 m/s in dry air at 20°C. Speed varies with temperature and medium.,"The speed of sound in air is approximately **343 meters per second (m/s)**, or **1,235 kilometers per hour (km/h)**, under standard conditions at **20°C (68°F)** and at sea level (with air at 1 atmosp"
